Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory,molprofil
X0933,5FU,chemotherapy,single,328.4,20,117.8,20,8.0,29,PD,#HIÁNYZIK
X0991,gemcitabine-50mpk,chemotherapy,single,0.7,13,-1.0,13,93.5,104,SD-->PD,#HIÁNYZIK
X0991,abraxane,Tubulin,single,296.8,12,202.2,12,3.2,12,PD,#HIÁNYZIK
X1004,paclitaxel,Tubulin,single,-26.4,13,-17.5,13,45.7,62,SD-->PD,X1004
X1008,paclitaxel,Tubulin,single,-77.6,90,-44.8,90,90.0,90,PR,X1008
X1027,5FU,chemotherapy,single,640.3,20,184.2,13,4.9,20,PD,X1027
X1055,5FU,chemotherapy,single,13.7,26,29.1,12,56.4,97,SD,#HIÁNYZIK
X1119,5FU,chemotherapy,single,-56.8,71,-28.8,90,90.0,90,PR,X1119
X1156,paclitaxel,Tubulin,single,395.4,21,83.9,14,7.6,31,PD,X1156
X1167,5FU,chemotherapy,single,12.8,66,23.5,20,105.0,105,SD-->-->PD,X1167
X1172,paclitaxel,Tubulin,single,321.8,20,-14.5,11,14.8,20,PD,X1172
X1173,5FU,chemotherapy,single,-36.9,71,-4.9,90,90.0,90,SD,X1173
X1189,paclitaxel,Tubulin,single,-100.0,31,-80.7,82,82.0,82,CR,#HIÁNYZIK
X1199,gemcitabine-50mpk,chemotherapy,single,15.1,74,20.6,11,90.3,101,SD,X1199
X1199,abraxane,Tubulin,single,199.5,29,58.9,12,7.2,29,PD,X1199
X1228,paclitaxel,Tubulin,single,-41.6,19,-28.3,19,61.1,126,SD-->PD,#HIÁNYZIK
X1270,5FU,chemotherapy,single,150.8,23,64.9,12,11.0,23,PD,X1270
X1286,paclitaxel,Tubulin,single,113.9,27,41.2,13,12.0,70,PD,#HIÁNYZIK
X1289,gemcitabine-50mpk,chemotherapy,single,-100.0,48,-77.1,111,111.0,111,CR,X1289
X1289,abraxane,Tubulin,single,331.6,21,91.5,13,5.8,21,PD,X1289
X1290,5FU,chemotherapy,single,-35.2,13,-31.8,13,57.0,62,SD-->PD,X1290
X1298,paclitaxel,Tubulin,single,69.6,22,17.3,15,26.8,28,PD,X1298
X1303,5FU,chemotherapy,single,-19.4,11,-17.5,16,61.9,92,SD-->PD,X1303
X1317,gemcitabine-50mpk,chemotherapy,single,127.0,20,9.0,14,18.2,20,PD,X1317
X1323,paclitaxel,Tubulin,single,269.2,15,75.7,13,8.3,15,PD,X1323
X1329,5FU,chemotherapy,single,95.7,23,15.6,15,23.8,54,PD,X1329
X1362,abraxane,Tubulin,single,96.5,25,28.9,11,19.7,49,PD,X1362
X1362,gemcitabine-50mpk,chemotherapy,single,47.9,20,38.5,14,30.0,37,PD,X1362
X1371,paclitaxel,Tubulin,single,76.8,20,11.4,13,26.0,34,PD,X1371
X1383,paclitaxel,Tubulin,single,23.7,17,18.1,13,52.5,83,SD,X1383
X1407,paclitaxel,Tubulin,single,151.8,20,68.3,14,10.4,48,PD,X1407
X1441,5FU,chemotherapy,single,8.2,13,8.8,13,55.8,86,SD-->PD,X1441
X1442,paclitaxel,Tubulin,single,246.3,10,136.1,10,4.0,10,PD,X1442
X1443,5FU,chemotherapy,single,6.5,20,9.8,20,29.0,29,SD-->PD,X1443
X1468,paclitaxel,Tubulin,single,48.3,45,17.9,14,78.8,91,PD,X1468
X1479,5FU,chemotherapy,single,-0.1,40,-3.1,12,67.6,82,SD-->PD,X1479
X1499,paclitaxel,Tubulin,single,267.3,11,120.5,11,4.8,11,PD,X1499
X1500,5FU,chemotherapy,single,-20.5,28,-8.3,57,76.0,76,SD-->-->PD,X1500
X1536,5FU,chemotherapy,single,34.9,24,21.3,14,46.0,46,SD-->PD,X1536
X1586,paclitaxel,Tubulin,single,99.1,21,22.2,11,18.0,34,PD,X1586
X1600,paclitaxel,Tubulin,single,269.4,20,53.2,13,10.9,21,PD,X1600
X1631,paclitaxel,Tubulin,single,-62.3,31,-32.2,38,50.9,55,PR-->PD,X1631
X1655,dacarbazine,chemotherapy,single,214.6,23,37.3,14,15.4,27,PD,X1655
X1658,paclitaxel,Tubulin,single,-38.6,31,0.1,73,92.1,105,SD-->-->PD,X1658
X1683,paclitaxel,Tubulin,single,-55.0,23,-41.7,26,100.0,119,PR-->PD,X1683
X1725,paclitaxel,Tubulin,single,-3.1,21,0.0,11,47.9,74,SD-->PD,X1725
X1787,paclitaxel,Tubulin,single,34.1,31,51.2,14,6.8,92,PD,X1787
X1823,paclitaxel,Tubulin,single,260.2,18,58.8,11,11.2,18,PD,X1823
X1828,paclitaxel,Tubulin,single,-15.1,28,1.6,38,49.0,49,SD-->PD,X1828
X1832,paclitaxel,Tubulin,single,3.4,17,-0.5,15,33.5,49,SD-->PD,X1832
X1834,paclitaxel,Tubulin,single,71.1,21,18.5,11,33.2,45,PD,X1834
X1835,paclitaxel,Tubulin,single,-9.0,31,37.0,11,38.7,53,PD,X1835
X1855,5FU,chemotherapy,single,9.1,10,5.0,17,87.0,87,SD-->PD,X1855
X1869,paclitaxel,Tubulin,single,450.1,11,166.4,11,5.3,11,PD,#HIÁNYZIK
X1870,paclitaxel,Tubulin,single,-7.2,14,-4.1,14,73.0,73,SD-->PD,#HIÁNYZIK
X1906,dacarbazine,chemotherapy,single,52.7,26,19.5,11,40.7,45,PD,X1906
X1916,paclitaxel,Tubulin,single,164.0,21,40.3,11,17.0,28,PD,X1916
X1921,paclitaxel,Tubulin,single,118.3,20,31.2,13,18.6,34,PD,X1921
X1934,paclitaxel,Tubulin,single,360.4,19,89.4,12,5.1,19,PD,X1934
X1948,abraxane,Tubulin,single,3.0,13,-7.6,11,33.5,48,SD-->PD,X1948
X1948,gemcitabine-50mpk,chemotherapy,single,18.1,33,10.6,13,63.8,104,SD-->PD,X1948
X1959,gemcitabine-50mpk,chemotherapy,single,31.5,28,9.6,11,17.1,35,SD-->PD,X1959
X1980,paclitaxel,Tubulin,single,122.6,20,47.1,13,10.9,29,PD,X1980
X1993,paclitaxel,Tubulin,single,296.4,12,96.4,11,5.7,12,PD,X1993
X2017,paclitaxel,Tubulin,single,35.7,21,17.2,14,35.5,47,PD,X2017
X2026,gemcitabine-50mpk,chemotherapy,single,-100.0,71,-71.5,88,88.0,88,CR,X2026
X2042,paclitaxel,Tubulin,single,119.3,21,34.2,12,18.3,25,PD,X2042
X2043,abraxane,Tubulin,single,323.8,22,105.3,12,5.7,22,PD,X2043
X2043,gemcitabine-50mpk,chemotherapy,single,9.9,10,25.8,14,14.0,14,SD,X2043
X2081,gemcitabine-50mpk,chemotherapy,single,95.4,24,40.8,14,24.7,37,PD,X2081
X2082,paclitaxel,Tubulin,single,301.5,21,71.6,11,7.7,26,PD,X2082
X2094,paclitaxel,Tubulin,single,-15.1,10,-7.0,14,40.9,61,SD-->PD,X2094
X2145,5FU,chemotherapy,single,89.4,41,41.5,13,18.0,41,PD,X2145
X2163,dacarbazine,chemotherapy,single,-26.6,14,-11.6,14,14.0,14,SD,X2163
X2182,5FU,chemotherapy,single,120.8,15,60.3,15,12.9,15,PD,X2182
X2195,paclitaxel,Tubulin,single,172.5,20,58.9,14,11.4,28,PD,X2195
X2239,5FU,chemotherapy,single,26.2,21,13.0,13,21.0,21,SD-->PD,X2239
X2283,gemcitabine-50mpk,chemotherapy,single,194.6,20,48.9,11,11.3,31,PD,X2283
X2283,abraxane,Tubulin,single,376.3,16,115.7,13,7.8,16,PD,X2283
X2306,dacarbazine,chemotherapy,single,-9.7,13,-8.6,13,41.0,41,SD-->PD,X2306
X2339,gemcitabine-50mpk,chemotherapy,single,48.4,32,21.8,12,33.9,78,PD,X2339
X2339,abraxane,Tubulin,single,148.0,21,48.6,11,14.5,32,PD,X2339
X2344,paclitaxel,Tubulin,single,345.5,21,69.5,14,11.0,24,PD,X2344
X2353,paclitaxel,Tubulin,single,16.6,10,13.6,13,71.0,91,SD-->PD,X2353
X2374,5FU,chemotherapy,single,18.0,10,15.1,16,47.8,92,SD-->PD,X2374
X2403,5FU,chemotherapy,single,15.0,17,19.1,17,42.0,42,SD-->PD,X2403
X2428,gemcitabine-50mpk,chemotherapy,single,78.8,24,40.7,14,31.9,91,PD,X2428
